Order Date,Customer,Product,Qty,Sales Order,Planned Order,Production Order,Confirmed,Status,Delivery,Invoice,Billing Status,Amount
2003-02-24,Land of Toys Inc.,Motorcycles,30,SO-558518c8,PL-21d1a3c8,PO-4befaee1,True,Shipped,In Transit,INV-7d6994d3,Paid,2871.0
2003-05-07,Reims Collectables,Motorcycles,34,SO-1db5e7ea,PL-e2aade36,PO-18b8c2f3,True,Shipped,In Transit,INV-8209b16a,Paid,2765.9
2003-07-01,Lyon Souveniers,Motorcycles,41,SO-3add65a6,PL-1b918a36,PO-d6fbbbb1,True,Shipped,In Transit,INV-3ed2995d,Paid,3884.34
2003-08-25,Toys4GrownUps.com,Motorcycles,45,SO-76c34456,PL-55f8c01f,PO-53b5c75e,True,Shipped,In Transit,INV-b11ace56,Paid,3746.7
2003-10-10,Corporate Gift Ideas Co.,Motorcycles,49,SO-56cf3c83,PL-808bd493,PO-5f09ce15,True,Shipped,In Transit,INV-f75c8c70,Paid,4900.0
2003-10-28,Technics Stores Inc.,Motorcycles,36,SO-7009321a,PL-49c23a61,PO-ab6109be,True,Shipped,In Transit,INV-e4d024ab,Paid,3479.76
2003-11-11,Daedalus Designs Imports,Motorcycles,29,SO-ce34d64d,PL-1857a736,PO-a1397157,True,Shipped,In Transit,INV-fcb8147d,Paid,2497.77
2003-11-18,Herkku Gifts,Motorcycles,48,SO-a812af4c,PL-aa03ee1d,PO-3fdea97b,True,Shipped,In Transit,INV-dcc005e4,Paid,4800.0
2003-12-01,Mini Wheels Co.,Motorcycles,22,SO-1630ccec,PL-3ca52a6c,PO-d17fc643,True,Shipped,In Transit,INV-b79700f1,Paid,2168.54
2004-01-15,Auto Canal Petit,Motorcycles,41,SO-ca2b9796,PL-e4335e3f,PO-455d25d3,True,Shipped,In Transit,INV-982ac930,Paid,4100.0
2004-02-20,"Australian Collectors, Co.",Motorcycles,37,SO-4983f9b0,PL-57917cda,PO-6c515915,True,Shipped,In Transit,INV-edc43a55,Paid,3700.0
2004-04-05,Vitachrome Inc.,Motorcycles,23,SO-438a4e42,PL-e257ecd6,PO-f39bccb4,True,Shipped,In Transit,INV-700a13b6,Paid,2300.0
2004-05-18,Tekni Collectables Inc.,Motorcycles,28,SO-1485c207,PL-9f0656b5,PO-45d64677,True,Shipped,In Transit,INV-4e82c6a2,Paid,2800.0
2004-06-28,Gift Depot Inc.,Motorcycles,34,SO-29e16c9f,PL-89e9da7c,PO-b8a76961,True,Shipped,In Transit,INV-3984985f,Paid,3400.0
2004-07-23,La Rochelle Gifts,Motorcycles,45,SO-6550095d,PL-0403280d,PO-d23cb64e,True,Shipped,In Transit,INV-d90ad0b3,Paid,4177.35
2004-08-27,Marta's Replicas Co.,Motorcycles,36,SO-b3cb4eb0,PL-9af145c5,PO-6668e2f9,True,Shipped,In Transit,INV-0feacd9b,Paid,3600.0
2004-09-30,"Toys of Finland, Co.",Motorcycles,23,SO-9026ffa4,PL-463a3c72,PO-67688a53,True,Shipped,In Transit,INV-0528759d,Paid,2300.0
2004-10-15,Baane Mini Imports,Motorcycles,41,SO-b95249fd,PL-8d42cd7d,PO-704e7ba7,True,Shipped,In Transit,INV-ddd1cd4c,Paid,4100.0
2004-11-02,Diecast Classics Inc.,Motorcycles,46,SO-5325b0c5,PL-2da07b17,PO-d872ed52,True,Shipped,In Transit,INV-49a1a1c6,Paid,4358.04
2004-11-15,Land of Toys Inc.,Motorcycles,42,SO-8b0aec24,PL-ae18821d,PO-a729add6,True,Shipped,In Transit,INV-2aeac81c,Paid,4200.0
2004-11-24,Salzburg Collectables,Motorcycles,41,SO-248a17a0,PL-c5a9fecc,PO-23e26245,True,Shipped,In Transit,INV-8077319d,Paid,4100.0
2004-12-17,Souveniers And Things Co.,Motorcycles,20,SO-f80e93bf,PL-e2e77843,PO-0319a6ca,True,Shipped,In Transit,INV-780349eb,Paid,1451.0
2005-02-03,La Rochelle Gifts,Motorcycles,21,SO-e7db4dc5,PL-73e3ef50,PO-2da76e17,True,Shipped,In Transit,INV-6dc6c303,Paid,733.11
2005-03-03,FunGiftIdeas.com,Motorcycles,42,SO-fa8b8c62,PL-b0bbe231,PO-1f5ad3cd,True,Shipped,In Transit,INV-588b2963,Paid,3207.12
2005-04-08,"UK Collectables, Ltd.",Motorcycles,24,SO-782151eb,PL-0c58f7fb,PO-d8625670,True,Shipped,In Transit,INV-a1732386,Paid,2400.0
2005-05-13,Euro Shopping Channel,Motorcycles,66,SO-170005b0,PL-89e418bb,PO-d200e377,True,Disputed,Not in Transit,INV-d6e2e059,Unpaid,6600.0
2003-01-29,Baane Mini Imports,Classic Cars,26,SO-1b098dd9,PL-40e579e8,PO-d73af660,True,Shipped,In Transit,INV-6928694a,Paid,2600.0
2003-03-24,"Volvo Model Replicas, Co",Classic Cars,29,SO-4626e64a,PL-c925e68f,PO-7f3ee6d5,True,Shipped,In Transit,INV-17a2cff1,Paid,2900.0
2003-05-28,"Corrida Auto Replicas, Ltd",Classic Cars,38,SO-2b416913,PL-289c5af2,PO-60b5e7dd,True,Shipped,In Transit,INV-45c31366,Paid,3800.0
2003-07-24,Technics Stores Inc.,Classic Cars,37,SO-127655cf,PL-d5646d72,PO-13bd32a9,True,Shipped,In Transit,INV-08cd853a,Paid,3700.0
2003-09-19,"Dragon Souveniers, Ltd.",Classic Cars,45,SO-56868b1e,PL-ba6ade15,PO-b78edeab,True,Shipped,In Transit,INV-110db07c,Paid,4500.0
2003-10-20,Classic Legends Inc.,Classic Cars,21,SO-06dcd545,PL-d02bde20,PO-90f14778,True,Shipped,In Transit,INV-25b69a6e,Paid,2100.0
2003-11-06,"Australian Gift Network, Co",Classic Cars,34,SO-78b280bf,PL-ceb33e51,PO-56dcc4fe,True,Shipped,In Transit,INV-4b3a8901,Paid,3400.0
2003-11-13,"Classic Gift Ideas, Inc",Classic Cars,23,SO-0f92ab57,PL-a3061496,PO-603913cb,True,Shipped,In Transit,INV-165ec5f1,Paid,2300.0
2003-11-25,"Saveley & Henriot, Co.",Classic Cars,42,SO-84e1fe44,PL-bf204b05,PO-a331d329,True,Shipped,In Transit,INV-d8524ee9,Paid,4200.0
2003-12-05,Canadian Gift Exchange Network,Classic Cars,47,SO-16e403ee,PL-58e4edc7,PO-f54f0796,True,Shipped,In Transit,INV-c1957d36,Paid,4700.0
2004-01-29,West Coast Collectables Co.,Classic Cars,35,SO-dfba9369,PL-cd1f476f,PO-6f665b25,True,Shipped,In Transit,INV-15a62501,Paid,3500.0
2004-03-10,Cambridge Collectables Co.,Classic Cars,29,SO-3731ff88,PL-1efdfbc3,PO-6f8a6927,True,Shipped,In Transit,INV-1e7d525a,Paid,2900.0
2004-05-04,Super Scale Inc.,Classic Cars,34,SO-86a13a3d,PL-6558df6e,PO-fa3a3b7e,True,Shipped,In Transit,INV-90c7e6a4,Paid,3400.0
2004-06-15,"Tokyo Collectables, Ltd",Classic Cars,32,SO-1bf3de99,PL-b7090951,PO-a661eda5,True,Shipped,In Transit,INV-ecf33f4c,Paid,3200.0
2004-07-19,Souveniers And Things Co.,Classic Cars,21,SO-036d3d67,PL-96cc6db4,PO-8c2fd759,True,Shipped,In Transit,INV-cc074c28,Paid,2100.0
2004-08-17,Amica Models & Co.,Classic Cars,34,SO-5a2b1165,PL-93c5f884,PO-6fe03636,True,Shipped,In Transit,INV-d54ca21c,Paid,3400.0
2004-09-08,Scandinavian Gift Ideas,Classic Cars,37,SO-cdd2a817,PL-3bfa11ce,PO-fc2bf7b9,True,Shipped,In Transit,INV-3c78352f,Paid,3700.0
2004-10-11,Auto Assoc. & Cie.,Classic Cars,47,SO-1f0bdf73,PL-4e3684ae,PO-c0f8cbf5,True,Shipped,In Transit,INV-bd5e6f15,Paid,4700.0
2004-10-21,Mini Gifts Distributors Ltd.,Classic Cars,48,SO-7a459e69,PL-783cc65a,PO-d62d950b,True,Shipped,In Transit,INV-0639b34f,Paid,4800.0
2004-11-04,Online Diecast Creations Co.,Classic Cars,40,SO-065d8979,PL-c5cd1213,PO-f9a44b94,True,Shipped,In Transit,INV-7f413215,Paid,4000.0
2004-11-18,Mini Wheels Co.,Classic Cars,26,SO-348f9eed,PL-7fc02fb5,PO-a50a38b1,True,Shipped,In Transit,INV-2d700e02,Paid,2600.0
2004-11-29,"Australian Collectors, Co.",Classic Cars,30,SO-6632329c,PL-375eba99,PO-04b909a8,True,Shipped,In Transit,INV-952cb624,Paid,3000.0
2004-12-10,Mini Gifts Distributors Ltd.,Classic Cars,32,SO-ff4d3c3c,PL-9b74f3d3,PO-4f80c722,True,Shipped,In Transit,INV-1b7b4d70,Paid,3200.0
2005-01-20,Collectables For Less Inc.,Classic Cars,41,SO-1cbabc5f,PL-fcd7ee3c,PO-c755d968,True,Shipped,In Transit,INV-70513153,Paid,4100.0
2005-02-17,Corporate Gift Ideas Co.,Classic Cars,36,SO-4ed17a9f,PL-cadcfa5f,PO-395e750e,True,Shipped,In Transit,INV-ccf4b7d4,Paid,3600.0
2005-03-09,"Anna's Decorations, Ltd",Classic Cars,24,SO-3f6ef913,PL-ddee62ca,PO-38eac669,True,Shipped,In Transit,INV-9c67aa4d,Paid,2400.0
2005-05-01,Quebec Home Shopping Network,Classic Cars,23,SO-f2e6c251,PL-e6e543b6,PO-f995ba98,True,Shipped,In Transit,INV-342cb1e6,Paid,2300.0
2005-05-31,Euro Shopping Channel,Classic Cars,50,SO-41cc434f,PL-42bc10f1,PO-6644890c,True,In Process,Not in Transit,INV-2d635696,Unpaid,5000.0
2003-02-24,Land of Toys Inc.,Motorcycles,39,SO-c4283139,PL-fbb24134,PO-db444230,True,Shipped,In Transit,INV-5a6fbaff,Paid,3896.49
2003-04-29,"Australian Collectors, Co.",Motorcycles,29,SO-1c42027b,PL-2c49bf4b,PO-d0bd82e6,True,Shipped,In Transit,INV-7c5ec582,Paid,2793.86
2003-07-01,Lyon Souveniers,Motorcycles,27,SO-a1e63937,PL-8123a504,PO-0e9f9548,True,Shipped,In Transit,INV-55954b93,Paid,2700.0
2003-08-25,Toys4GrownUps.com,Motorcycles,37,SO-013ec88f,PL-71669439,PO-b2d9cc20,True,Shipped,In Transit,INV-c5b1fe73,Paid,3700.0
2003-10-10,Corporate Gift Ideas Co.,Motorcycles,37,SO-09f6fa70,PL-caa3f67b,PO-7a1ebc12,True,Shipped,In Transit,INV-55bca89e,Paid,3700.0
2003-10-28,Technics Stores Inc.,Motorcycles,27,SO-9c2bef3d,PL-95bb29c9,PO-4163c598,True,Shipped,In Transit,INV-ec10aef0,Paid,2700.0
2003-11-11,Daedalus Designs Imports,Motorcycles,42,SO-a61d5d9d,PL-59faf8a7,PO-6b0f336e,True,Shipped,In Transit,INV-5f53bbff,Paid,4200.0
2003-11-18,Herkku Gifts,Motorcycles,38,SO-d2b574cb,PL-5a3b898d,PO-80f10949,True,Shipped,In Transit,INV-68e3ce56,Paid,3660.92
2003-12-01,Mini Wheels Co.,Motorcycles,24,SO-12ee8249,PL-3cc7f6f3,PO-72822628,True,Shipped,In Transit,INV-5dbc233d,Paid,2400.0
2004-01-12,Osaka Souveniers Co.,Motorcycles,23,SO-a0bd1373,PL-277df198,PO-d0cbb17e,True,Shipped,In Transit,INV-732054f1,Paid,2300.0
2004-02-20,"Australian Collectors, Co.",Motorcycles,47,SO-b36e4d5b,PL-c9e80527,PO-fb383ad8,True,Shipped,In Transit,INV-8bc9b97b,Paid,4700.0
2004-04-03,Motor Mint Distributors Inc.,Motorcycles,22,SO-145fe41b,PL-eb02ab49,PO-3daa1b3f,True,Shipped,In Transit,INV-9525fa9c,Paid,2200.0
2004-05-18,Tekni Collectables Inc.,Motorcycles,44,SO-56d443ab,PL-5c8a8e4d,PO-27ad3805,True,Shipped,In Transit,INV-2ad0c827,Paid,4400.0
2004-06-28,Gift Depot Inc.,Motorcycles,40,SO-0462aacc,PL-29071851,PO-a55f3dad,True,Shipped,In Transit,INV-528cca78,Paid,4000.0
2004-07-23,La Rochelle Gifts,Motorcycles,22,SO-83aa2915,PL-33c82967,PO-59907b1f,True,Shipped,In Transit,INV-cba2b0d4,Paid,2200.0
2004-08-27,Marta's Replicas Co.,Motorcycles,47,SO-73c5bffe,PL-aab79203,PO-96e2ee52,True,Shipped,In Transit,INV-f2f58c7a,Paid,4700.0
2004-09-27,Atelier graphique,Motorcycles,39,SO-30657b0e,PL-f25359aa,PO-3caa553e,True,Shipped,In Transit,INV-04ed3f4f,Paid,3757.26
2004-10-15,Mini Classics,Motorcycles,34,SO-69b2661f,PL-9363c54d,PO-4e5e08a1,True,Shipped,In Transit,INV-a1b1a4c3,Paid,3400.0
2004-11-02,Diecast Classics Inc.,Motorcycles,45,SO-f2830885,PL-4ed88107,PO-bde6711f,True,Shipped,In Transit,INV-38f6948f,Paid,4500.0
2004-11-15,Land of Toys Inc.,Motorcycles,20,SO-f7ef6233,PL-dcaf2059,PO-d2f0797b,True,Shipped,In Transit,INV-a667af24,Paid,2000.0
2004-11-23,"Tokyo Collectables, Ltd",Motorcycles,40,SO-8736d241,PL-1b0e5493,PO-02feae61,True,Shipped,In Transit,INV-6b2f4c25,Paid,2756.8
2004-12-17,Souveniers And Things Co.,Motorcycles,26,SO-52e9f1d1,PL-fdfe2d64,PO-fa49d975,True,Shipped,In Transit,INV-57d03d69,Paid,1329.9
2005-02-02,"Australian Gift Network, Co",Motorcycles,39,SO-6a9e8941,PL-4ece093e,PO-c0e724f4,True,Shipped,In Transit,INV-d332cf3a,Paid,3900.0
2005-03-03,FunGiftIdeas.com,Motorcycles,50,SO-2d8fb544,PL-f8bbe78a,PO-59c9c49f,True,Shipped,In Transit,INV-7bbcd038,Paid,2225.5
2005-04-07,Auto Canal Petit,Motorcycles,45,SO-324f3605,PL-1d391f90,PO-b8ae4d82,True,Shipped,In Transit,INV-58152a6f,Paid,4500.0
2005-05-13,Euro Shopping Channel,Motorcycles,45,SO-7c414934,PL-b08d34e2,PO-4090eda2,True,Disputed,Not in Transit,INV-30469308,Unpaid,4500.0
2003-02-24,Land of Toys Inc.,Motorcycles,27,SO-1c1a870b,PL-cb3ff389,PO-1a4f1fb8,True,Shipped,In Transit,INV-db8cf90e,Paid,2700.0
2003-04-29,"Australian Collectors, Co.",Motorcycles,46,SO-ba77911f,PL-83625697,PO-6a0b0962,True,Shipped,In Transit,INV-07b9e409,Paid,4600.0
2003-07-01,Lyon Souveniers,Motorcycles,31,SO-d3f3ca0f,PL-a7dd1f00,PO-cdb8f760,True,Shipped,In Transit,INV-08a39769,Paid,3100.0
2003-08-25,Toys4GrownUps.com,Motorcycles,33,SO-6f1b9734,PL-842ca828,PO-9ef6638e,True,Shipped,In Transit,INV-3ea6a632,Paid,3300.0
2003-10-10,Corporate Gift Ideas Co.,Motorcycles,22,SO-0ff7ee80,PL-af89e1f0,PO-e5409629,True,Shipped,In Transit,INV-92e700a9,Paid,2200.0
2003-10-28,Technics Stores Inc.,Motorcycles,20,SO-00375a32,PL-f1277998,PO-51cbe8e7,True,Shipped,In Transit,INV-a1e63c9e,Paid,2000.0
2003-11-11,Daedalus Designs Imports,Motorcycles,41,SO-bd8aa1c9,PL-82359fef,PO-143b09df,True,Shipped,In Transit,INV-249803b8,Paid,4100.0
2003-11-18,Herkku Gifts,Motorcycles,45,SO-bec94496,PL-d8c1dd58,PO-d892720d,True,Shipped,In Transit,INV-abdee89e,Paid,4500.0
2003-12-01,Mini Wheels Co.,Motorcycles,49,SO-80472421,PL-321c0c9e,PO-84764a47,True,Shipped,In Transit,INV-8cc88b64,Paid,4900.0
2004-01-12,Osaka Souveniers Co.,Motorcycles,34,SO-a25ee9a4,PL-658d0ed4,PO-f5943d51,True,Shipped,In Transit,INV-ac929ee1,Paid,3400.0
2004-02-20,"Australian Collectors, Co.",Motorcycles,49,SO-4a2cef19,PL-2079e06f,PO-66c7b616,True,Shipped,In Transit,INV-1928356e,Paid,4900.0
2004-04-05,Vitachrome Inc.,Motorcycles,39,SO-46a21927,PL-68975762,PO-61faaab3,True,Shipped,In Transit,INV-053e8279,Paid,3900.0
2004-05-18,Tekni Collectables Inc.,Motorcycles,43,SO-b7a7ece1,PL-4a9ba0c8,PO-a9c91d50,True,Shipped,In Transit,INV-2cf7cb2e,Paid,4300.0
2004-06-28,Gift Depot Inc.,Motorcycles,41,SO-9d388955,PL-8cb91ec8,PO-e8ac4331,True,Shipped,In Transit,INV-859f264e,Paid,4100.0
2004-07-23,La Rochelle Gifts,Motorcycles,36,SO-fe463870,PL-af5e2141,PO-72fefc7d,True,Shipped,In Transit,INV-88da07e6,Paid,3600.0
2004-08-27,Marta's Replicas Co.,Motorcycles,27,SO-1cfd68ef,PL-cc9ff792,PO-94a08ca5,True,Shipped,In Transit,INV-bfbcc797,Paid,2700.0
2004-09-30,"Toys of Finland, Co.",Motorcycles,29,SO-c3438d9c,PL-633822f7,PO-bb98e929,True,Shipped,In Transit,INV-c51cc7b8,Paid,2900.0
2004-10-15,Mini Classics,Motorcycles,20,SO-1f8a21ef,PL-07b42591,PO-47d420c7,True,Shipped,In Transit,INV-7a796da0,Paid,2000.0
2004-11-02,Diecast Classics Inc.,Motorcycles,37,SO-dc3cb3cf,PL-02861833,PO-abd01307,True,Shipped,In Transit,INV-b671e843,Paid,3700.0
2004-11-15,Land of Toys Inc.,Motorcycles,26,SO-5a5d552d,PL-b72407fb,PO-9b7065c6,True,Shipped,In Transit,INV-deee5527,Paid,2600.0
2004-11-23,"Tokyo Collectables, Ltd",Motorcycles,39,SO-66b7e9b1,PL-0d9f85d1,PO-010ba2d0,True,Shipped,In Transit,INV-43e29abb,Paid,2990.13
2005-01-05,Technics Stores Inc.,Motorcycles,22,SO-eab255a1,PL-cc0a3eae,PO-ccdfa06f,True,Shipped,In Transit,INV-a79db2d1,Paid,2200.0
2005-02-02,"Australian Gift Network, Co",Motorcycles,22,SO-d3f1cf5d,PL-7f44a0b5,PO-7ed884e0,True,Shipped,In Transit,INV-ed627123,Paid,2200.0
2005-03-03,FunGiftIdeas.com,Motorcycles,21,SO-cabb04ab,PL-a958e83e,PO-6a41637d,True,Shipped,In Transit,INV-f1025f3c,Paid,1822.17
2005-04-08,"UK Collectables, Ltd.",Motorcycles,66,SO-9609251d,PL-b73751c1,PO-a7f1e162,True,Shipped,In Transit,INV-c2ef188d,Paid,6600.0
2005-05-13,Euro Shopping Channel,Motorcycles,56,SO-45399ec0,PL-1825287b,PO-6707bf89,True,Disputed,Not in Transit,INV-d11aaf5c,Unpaid,5600.0
2003-02-11,Danish Wholesale Imports,Classic Cars,50,SO-a6da9fc3,PL-d35c8cec,PO-4bad65a4,True,Shipped,In Transit,INV-26d88e20,Paid,5000.0
2003-04-28,Salzburg Collectables,Classic Cars,46,SO-91514fdf,PL-a5979765,PO-c33bfccf,True,Shipped,In Transit,INV-96985332,Paid,4600.0
2003-06-12,"Stylish Desk Decors, Co.",Classic Cars,33,SO-0a2330b0,PL-7af05718,PO-1f44bf6e,True,Shipped,In Transit,INV-74a7b7f8,Paid,3300.0
2003-08-10,Mini Creations Ltd.,Classic Cars,49,SO-863d375d,PL-ec1200c5,PO-c2e18f5f,True,Shipped,In Transit,INV-28ee0e20,Paid,4900.0
2003-10-06,"Toys of Finland, Co.",Classic Cars,32,SO-77905d17,PL-12c87194,PO-75f61087,True,Shipped,In Transit,INV-8a52bd25,Paid,3200.0
2003-10-23,Scandinavian Gift Ideas,Classic Cars,44,SO-f2eed358,PL-06d97cea,PO-16a8ad78,True,Cancelled,Not in Transit,INV-b2f6cd14,Unpaid,4400.0
2003-11-08,Alpha Cognac,Classic Cars,24,SO-1cbfc379,PL-9bb273b5,PO-28ff954e,True,Shipped,In Transit,INV-c46b373a,Paid,2400.0
2003-11-14,"Double Decker Gift Stores, Ltd",Classic Cars,26,SO-d893eaf3,PL-7146677f,PO-288bafee,True,Shipped,In Transit,INV-853a02a9,Paid,2600.0
2003-11-26,Enaco Distributors,Classic Cars,45,SO-b606e644,PL-11b434b8,PO-f8a0c5c5,True,Shipped,In Transit,INV-1e5a90c7,Paid,4500.0
2004-01-09,"Men 'R' US Retailers, Ltd.",Classic Cars,39,SO-79863da9,PL-0d1b9f8e,PO-08b56619,True,Shipped,In Transit,INV-0f59d8fe,Paid,3900.0
2004-02-19,Collectable Mini Designs Co.,Classic Cars,49,SO-608df0b7,PL-17b984e0,PO-80a7b796,True,Shipped,In Transit,INV-f6f9abeb,Paid,4900.0
2004-05-07,Land of Toys Inc.,Classic Cars,20,SO-bfb11ed4,PL-538e12a3,PO-84909001,True,Cancelled,Not in Transit,INV-cb90c212,Unpaid,2000.0
2004-06-17,Quebec Home Shopping Network,Classic Cars,27,SO-d8dd2784,PL-d4552e56,PO-3d014005,True,Shipped,In Transit,INV-5b2a2ed5,Paid,2700.0
2004-07-21,Petit Auto,Classic Cars,30,SO-97b5c755,PL-47c891b1,PO-e2c70552,True,Shipped,In Transit,INV-2032444a,Paid,3000.0
2004-08-20,"Royal Canadian Collectables, Ltd.",Classic Cars,25,SO-e068d94e,PL-1a18ec8f,PO-7f700e5f,True,Shipped,In Transit,INV-2b3c6fdd,Paid,2500.0
2004-09-10,Gifts4AllAges.com,Classic Cars,24,SO-4f40df24,PL-773a6082,PO-237e0710,True,Shipped,In Transit,INV-38821f29,Paid,2400.0
2004-10-14,"Classic Gift Ideas, Inc",Classic Cars,22,SO-a4265360,PL-8820d61d,PO-05601c8f,True,Shipped,In Transit,INV-fa07bbcc,Paid,2200.0
2004-11-01,giftsbymail.co.uk,Classic Cars,33,SO-c861defb,PL-3f8da61a,PO-7b082711,True,Shipped,In Transit,INV-eb2e77d7,Paid,3300.0
2004-11-05,Baane Mini Imports,Classic Cars,47,SO-1a33135a,PL-7ad081c6,PO-34612dfa,True,Shipped,In Transit,INV-9c0a2a58,Paid,3051.71
2004-11-21,Classic Legends Inc.,Classic Cars,25,SO-708aa9df,PL-1cde2756,PO-1e25b315,True,Shipped,In Transit,INV-3abf1593,Paid,1201.25
2004-12-02,Euro Shopping Channel,Classic Cars,26,SO-0a841b2c,PL-66e6126a,PO-2ea97928,True,Shipped,In Transit,INV-847104e8,Paid,1962.22
2004-12-15,Reims Collectables,Classic Cars,48,SO-79480e2d,PL-b6217f98,PO-61c42902,True,Shipped,In Transit,INV-c7cd204a,Paid,2624.64
2005-01-31,"Oulu Toy Supplies, Inc.",Classic Cars,39,SO-146fc3b7,PL-5c0ce695,PO-d7961fdf,True,Shipped,In Transit,INV-71b30113,Paid,3900.0
2005-02-23,Corporate Gift Ideas Co.,Classic Cars,34,SO-f6cf9cfc,PL-91e177dc,PO-c7ec3e2b,True,Shipped,In Transit,INV-ee8136ea,Paid,3400.0
2005-03-17,Lyon Souveniers,Classic Cars,32,SO-8ea3d7e7,PL-6b6818d7,PO-80f69dae,True,Shipped,In Transit,INV-d83c07f7,Paid,3200.0
2005-04-01,The Sharp Gifts Warehouse,Classic Cars,64,SO-82b4aa58,PL-9cf75757,PO-6e8bccb1,True,Shipped,In Transit,INV-f1778b49,Paid,6400.0
2005-05-06,Gifts4AllAges.com,Classic Cars,19,SO-3e297a2f,PL-d646e14c,PO-152cb9ba,False,On Hold,Not in Transit,INV-7f565b9f,Unpaid,1900.0
2003-01-29,Baane Mini Imports,Classic Cars,42,SO-18eee9ec,PL-86bdc849,PO-34f30868,True,Shipped,In Transit,INV-6797ff5e,Paid,4200.0
2003-04-01,"La Corne D'abondance, Co.",Classic Cars,31,SO-fb65e2ed,PL-e21e0923,PO-39d1540f,True,Shipped,In Transit,INV-8e242583,Paid,3100.0
2003-05-28,"Corrida Auto Replicas, Ltd",Classic Cars,22,SO-ee3fa1c0,PL-3c179e93,PO-6293acb1,True,Shipped,In Transit,INV-2ee19c6f,Paid,2200.0
2003-07-24,Technics Stores Inc.,Classic Cars,26,SO-b5290be0,PL-0f63b805,PO-a0462c2e,True,Shipped,In Transit,INV-0e98a4df,Paid,2600.0
2003-09-19,"Dragon Souveniers, Ltd.",Classic Cars,20,SO-8575d705,PL-1b4b3ad3,PO-caa7bfb8,True,Shipped,In Transit,INV-583530be,Paid,2000.0
2003-10-21,Mini Auto Werke,Classic Cars,21,SO-0df04b39,PL-a3706e37,PO-289a31ba,True,Resolved,Delivered,INV-a75b18c1,Paid,2100.0
2003-11-06,"Stylish Desk Decors, Co.",Classic Cars,33,SO-d101b907,PL-df7a02fa,PO-d5972a90,True,Shipped,In Transit,INV-9538cb25,Paid,3300.0
2003-11-13,"Classic Gift Ideas, Inc",Classic Cars,28,SO-7d5fedef,PL-c6fa12e1,PO-abadc6fe,True,Shipped,In Transit,INV-93dd992d,Paid,2800.0
2003-11-25,"Saveley & Henriot, Co.",Classic Cars,26,SO-68132588,PL-a9387ee8,PO-711771b4,True,Shipped,In Transit,INV-0aa1a98a,Paid,2600.0
2003-12-09,Diecast Collectables,Classic Cars,31,SO-800154e6,PL-5b66f56e,PO-18b2479e,True,Shipped,In Transit,INV-5cbe8f77,Paid,3100.0
2004-02-04,Handji Gifts& Co,Classic Cars,48,SO-fa70dbcc,PL-ad4f2896,PO-fadd8ffb,True,Shipped,In Transit,INV-f1ef8236,Paid,4800.0
2004-03-11,Mini Gifts Distributors Ltd.,Classic Cars,50,SO-84b9dd1c,PL-a1f237cc,PO-17b02216,True,Shipped,In Transit,INV-ddea8d33,Paid,5000.0
2004-05-04,Super Scale Inc.,Classic Cars,28,SO-512802d3,PL-d88b27f8,PO-c46b4dc4,True,Shipped,In Transit,INV-6d1370a5,Paid,2800.0
2004-06-15,Handji Gifts& Co,Classic Cars,26,SO-ac06c47b,PL-902a411a,PO-30d7ab9a,True,Shipped,In Transit,INV-64568479,Paid,2600.0
2004-07-19,Souveniers And Things Co.,Classic Cars,32,SO-ef0867f5,PL-b36392fa,PO-f53cf9f1,True,Shipped,In Transit,INV-338ba951,Paid,3200.0
2004-08-19,Diecast Classics Inc.,Classic Cars,44,SO-386750c0,PL-252b71e5,PO-8d22d9d6,True,Shipped,In Transit,INV-efb889f5,Paid,4400.0
2004-09-08,Scandinavian Gift Ideas,Classic Cars,30,SO-86dabe05,PL-3871c180,PO-70065a0b,True,Shipped,In Transit,INV-38c4cf1e,Paid,3000.0
2004-10-13,Marta's Replicas Co.,Classic Cars,38,SO-c442dd31,PL-031f6409,PO-270eabd0,True,Shipped,In Transit,INV-22c456c1,Paid,3800.0
