Order Date,Customer,Product,Qty,Sales Order,Planned Order,Production Order,Confirmed,Delivery,Invoice,Billing Status,Amount
2/24/2003 0:00,Land of Toys Inc.,Motorcycles,30,SO-f330023e,PL-9e1341f3,PO-3fac76c7,True,Delivered,INV-5046fcc0,Paid,2871.0
5/7/2003 0:00,Reims Collectables,Motorcycles,34,SO-aabc52e6,PL-b8d2845a,PO-bdfa3c2a,True,Delivered,INV-1c66b3c1,Paid,2765.9
7/1/2003 0:00,Lyon Souveniers,Motorcycles,41,SO-6b127ed7,PL-9296b6cc,PO-e21eeafa,True,Delivered,INV-c1bd52f4,Paid,3884.34
8/25/2003 0:00,Toys4GrownUps.com,Motorcycles,45,SO-0cf019a5,PL-1762100a,PO-9440155e,True,Delivered,INV-d2b4ea80,Paid,3746.7
10/10/2003 0:00,Corporate Gift Ideas Co.,Motorcycles,49,SO-5864b55b,PL-03ff46bd,PO-8340e348,True,Delivered,INV-b146bd8f,Paid,4900.0
10/28/2003 0:00,Technics Stores Inc.,Motorcycles,36,SO-6d95c667,PL-c432925b,PO-fcd5191f,True,Delivered,INV-e01c8eef,Paid,3479.76
11/11/2003 0:00,Daedalus Designs Imports,Motorcycles,29,SO-b3fb4885,PL-7bead7a5,PO-e0ba927d,True,Delivered,INV-4415dbd6,Paid,2497.77
11/18/2003 0:00,Herkku Gifts,Motorcycles,48,SO-4c430e87,PL-ec260ed1,PO-470187c3,True,Delivered,INV-084df51f,Paid,4800.0
12/1/2003 0:00,Mini Wheels Co.,Motorcycles,22,SO-aacd2792,PL-69bb4814,PO-77fac0c4,True,Delivered,INV-689a4011,Paid,2168.54
1/15/2004 0:00,Auto Canal Petit,Motorcycles,41,SO-2f2ecd8d,PL-7e0effec,PO-79e69a72,True,Delivered,INV-d3738b30,Paid,4100.0
2/20/2004 0:00,"Australian Collectors, Co.",Motorcycles,37,SO-99bacae5,PL-8f55b6c7,PO-0ea26c77,True,Delivered,INV-98a6ba5a,Paid,3700.0
4/5/2004 0:00,Vitachrome Inc.,Motorcycles,23,SO-37ff0cfd,PL-86503e61,PO-5e589bf9,True,Delivered,INV-40559cb3,Paid,2300.0
5/18/2004 0:00,Tekni Collectables Inc.,Motorcycles,28,SO-80d50968,PL-a2182eae,PO-6f7ff259,True,Delivered,INV-007b1640,Paid,2800.0
6/28/2004 0:00,Gift Depot Inc.,Motorcycles,34,SO-70fc2965,PL-c1adfe51,PO-721f0105,True,Delivered,INV-62bc631f,Paid,3400.0
7/23/2004 0:00,La Rochelle Gifts,Motorcycles,45,SO-ace3b3e7,PL-f305093a,PO-3c7e4b1b,True,Delivered,INV-a79d74bc,Paid,4177.35
8/27/2004 0:00,Marta's Replicas Co.,Motorcycles,36,SO-0e8cc125,PL-63fac3b7,PO-2f760605,True,Delivered,INV-c5450ea4,Paid,3600.0
9/30/2004 0:00,"Toys of Finland, Co.",Motorcycles,23,SO-0627df97,PL-28af491e,PO-9776fb56,True,Delivered,INV-a9d0a576,Paid,2300.0
10/15/2004 0:00,Baane Mini Imports,Motorcycles,41,SO-d1fb9b3e,PL-0636108c,PO-7d228ba9,True,Delivered,INV-9b27bfc5,Paid,4100.0
11/2/2004 0:00,Diecast Classics Inc.,Motorcycles,46,SO-630eaa15,PL-edb59eae,PO-6c5d1941,True,Delivered,INV-2023fd37,Paid,4358.04
11/15/2004 0:00,Land of Toys Inc.,Motorcycles,42,SO-369f31d2,PL-069bc8c5,PO-58a89429,True,Delivered,INV-86de19f8,Paid,4200.0
11/24/2004 0:00,Salzburg Collectables,Motorcycles,41,SO-b667e3ab,PL-d31fa3ce,PO-02aa65f5,True,Delivered,INV-767ee20e,Paid,4100.0
12/17/2004 0:00,Souveniers And Things Co.,Motorcycles,20,SO-a8f0cc2a,PL-9652e5b5,PO-5af49fb7,True,Delivered,INV-fc9f4e07,Paid,1451.0
2/3/2005 0:00,La Rochelle Gifts,Motorcycles,21,SO-5e1fdb20,PL-62e842b2,PO-008f8760,True,Delivered,INV-607ae108,Paid,733.11
3/3/2005 0:00,FunGiftIdeas.com,Motorcycles,42,SO-589a277f,PL-ed17cd18,PO-dd14041f,True,Delivered,INV-05e9103e,Paid,3207.12
4/8/2005 0:00,"UK Collectables, Ltd.",Motorcycles,24,SO-dea20c41,PL-66a5b096,PO-70657778,True,Delivered,INV-fe6437f4,Paid,2400.0
5/13/2005 0:00,Euro Shopping Channel,Motorcycles,66,SO-9bbcf656,PL-7f81eeb6,PO-02165a8c,True,Delivered,INV-66eeedcd,Paid,6600.0
1/29/2003 0:00,Baane Mini Imports,Classic Cars,26,SO-94c8a8ef,PL-1ae24773,PO-7a5efb30,True,Delivered,INV-9657cb8a,Paid,2600.0
3/24/2003 0:00,"Volvo Model Replicas, Co",Classic Cars,29,SO-7307623d,PL-c48e6ad9,PO-4f748bd3,True,Delivered,INV-7502bd3d,Paid,2900.0
5/28/2003 0:00,"Corrida Auto Replicas, Ltd",Classic Cars,38,SO-77df9ac5,PL-abd01580,PO-ce028b49,True,Delivered,INV-3df04c3e,Paid,3800.0
7/24/2003 0:00,Technics Stores Inc.,Classic Cars,37,SO-2f7a1970,PL-349f7be1,PO-a8fc9560,True,Delivered,INV-4908eb15,Paid,3700.0
9/19/2003 0:00,"Dragon Souveniers, Ltd.",Classic Cars,45,SO-a8bb54fb,PL-1c19466e,PO-f4ca7643,True,Delivered,INV-7a81baec,Paid,4500.0
10/20/2003 0:00,Classic Legends Inc.,Classic Cars,21,SO-97388689,PL-f287ad17,PO-5298a36b,True,Delivered,INV-10088400,Paid,2100.0
